symbol,sector,close,high,low,p,r1,r2,r3,r4,r5,s1,s2,s3,s4,s5,opening_high,opening_low,breaking_level,breaking_type,timestamp,breakout_timestamp,status
GODREJCP,Fast Moving Consumer Goods,1229.3,1229.8,1229.3,1233.0,1251.6,1263.8999999999999,1282.4999999999998,1301.0999999999995,1319.6999999999998,1220.7,1202.1000000000001,1189.8000000000002,1177.5000000000005,1165.2000000000003,1245.2,1230.0,-,-,2025-04-21T10:25:00+05:30,-,-
UNITDSPR,Fast Moving Consumer Goods,1518.5,1518.7,1517.6,1514.8333333333333,1529.4666666666665,1541.1333333333332,1555.7666666666664,1570.3999999999996,1585.0333333333328,1503.1666666666665,1488.5333333333333,1476.8666666666666,1465.1999999999998,1453.5333333333328,1538.8,1505.8,-,-,2025-04-21T10:25:00+05:30,-,-
LT,Construction,3264.9,3264.9,3261.0,3219.866666666667,3277.3333333333335,3307.366666666667,3364.8333333333335,3422.2999999999993,3479.7666666666664,3189.8333333333335,3132.366666666667,3102.3333333333335,3072.2999999999993,3042.2666666666664,3265.0,3232.3,-,-,2025-04-21T10:25:00+05:30,-,-
ALKEM,Healthcare,4971.7,4974.8,4969.6,4941.3,5001.5,5049.7,5109.9,5170.1,5230.299999999999,4893.1,4832.900000000001,4784.700000000001,4736.500000000002,4688.300000000001,4960.0,4921.0,-,-,2025-04-21T10:25:00+05:30,-,-
YESBANK,Financial Services,18.87,18.88,18.86,17.986666666666665,18.25333333333333,18.416666666666664,18.68333333333333,18.949999999999996,19.21666666666666,17.82333333333333,17.556666666666665,17.39333333333333,17.229999999999997,17.066666666666663,19.35,19.01,-,-,2025-04-21T10:25:00+05:30,-,-
AMBUJACEM,Construction Materials,578.2,578.8,577.9,567.6833333333333,573.2166666666666,576.6333333333333,582.1666666666666,587.6999999999998,593.2333333333331,564.2666666666665,558.7333333333332,555.3166666666665,551.8999999999996,548.4833333333331,573.0,567.85,R2,Long,2025-04-21T10:25:00+05:30,2025-04-21T10:20:00+05:30,Confirmed
ADANIPORTS,Services,1231.2,1231.3,1230.1,1253.5,1288.4,1317.4,1352.3000000000002,1387.2000000000003,1422.1000000000004,1224.5,1189.6,1160.6,1131.6,1102.6,1260.0,1209.4,-,-,2025-04-21T10:25:00+05:30,-,-
NMDC,Metals & Mining,66.95,66.99,66.9,65.82000000000001,66.44000000000001,67.01,67.63000000000001,68.25,68.87,65.25000000000001,64.63000000000001,64.06000000000002,63.49000000000001,62.920000000000016,66.44,66.03,R1,Long,2025-04-21T10:25:00+05:30,2025-04-21T10:20:00+05:30,Confirmed
RECLTD,Financial Services,432.55,432.7,432.15,427.0666666666666,432.9333333333332,437.2666666666666,443.1333333333332,448.9999999999999,454.86666666666633,422.73333333333323,416.8666666666666,412.53333333333325,408.20000000000005,403.86666666666656,433.5,428.7,-,-,2025-04-21T10:25:00+05:30,-,-
ITC,Fast Moving Consumer Goods,421.85,422.0,421.8,425.55,429.55,431.85,435.85,439.85,443.85000000000014,423.25,419.25,416.95,414.64999999999986,412.3499999999999,429.1,423.8,S1,Short,2025-04-21T10:25:00+05:30,2025-04-21T10:20:00+05:30,Confirmed
BAJAJ-AUTO,Automobile and Auto Components,8115.5,8120.0,8115.5,7979.166666666667,8093.833333333334,8169.666666666667,8284.333333333334,8399.0,8513.666666666668,7903.333333333334,7788.666666666667,7712.833333333334,7637.0,7561.166666666668,8050.0,7960.0,R1,Long,2025-04-21T10:25:00+05:30,2025-04-21T10:20:00+05:30,Confirmed
MARUTI,Automobile and Auto Components,11669.0,11669.0,11655.0,11649.333333333334,11773.666666666668,11852.333333333334,11976.666666666668,12101.0,12225.333333333336,11570.666666666668,11446.333333333334,11367.666666666668,11289.0,11210.333333333336,11695.0,11599.0,-,-,2025-04-21T10:25:00+05:30,-,-
MAHABANK,Financial Services,50.36,50.39,50.22,48.300000000000004,49.00000000000001,49.6,50.300000000000004,51.0,51.70000000000002,47.70000000000001,47.00000000000001,46.40000000000001,45.80000000000001,45.20000000000002,49.72,49.06,R2,Long,2025-04-21T10:25:00+05:30,2025-04-21T10:20:00+05:30,Confirmed
ULTRACEMCO,Construction Materials,12044.0,12048.0,12044.0,11807.666666666666,12015.333333333332,12129.666666666666,12337.333333333332,12545.0,12752.666666666664,11693.333333333332,11485.666666666666,11371.333333333332,11257.0,11142.666666666664,11865.0,11781.0,R1,Long,2025-04-21T10:25:00+05:30,2025-04-21T10:20:00+05:30,Confirmed
JSWSTEEL,Metals & Mining,1027.5,1028.0,1026.3,1000.9666666666667,1014.8333333333334,1022.4666666666667,1036.3333333333335,1050.1999999999998,1064.0666666666666,993.3333333333334,979.4666666666667,971.8333333333335,964.1999999999998,956.5666666666666,1011.0,1000.5,R2,Long,2025-04-21T10:25:00+05:30,2025-04-21T10:25:00+05:30,Confirmed
OIL,Oil Gas & Consumable Fuels,392.2,392.2,391.9,382.76666666666665,388.3333333333333,392.26666666666665,397.8333333333333,403.4000000000001,408.9666666666667,378.8333333333333,373.26666666666665,369.3333333333333,365.4000000000001,361.4666666666667,386.7,382.0,R1,Long,2025-04-21T10:25:00+05:30,2025-04-21T10:20:00+05:30,Confirmed
JIOFIN,Financial Services,246.95,247.1,246.88,244.25666666666666,250.2133333333333,253.95666666666665,259.9133333333333,265.8699999999999,271.8266666666666,240.51333333333332,234.55666666666667,230.81333333333333,227.07,223.3266666666666,250.0,244.5,-,-,2025-04-21T10:25:00+05:30,-,-
